Old Bexley and Sidcup	65,186	65,161	66,035	London (Bexley)	England	London
Oldham East and Saddleworth	70,984	72,249	71,475	Greater Manchester	England	North West
Oldham West and Royton	70,947	72,402	71,652	Greater Manchester	England	North West
Orpington	66,974	68,221	68,129	London (Bromley)	England	London
Oxford East	78,769	81,644	78,978	Oxfordshire	England	South East
Oxford West and Abingdon	75,153	77,811	76,174	Oxfordshire	England	South East
Pendle	63,347	66,735	64,573	Lancashire	England	North West
Penistone and Stocksbridge	63,914	69,133	70,817	South Yorkshire	England	Yorkshire & the Humber
Penrith and The Border	61,000	65,234	65,209	Cumbria	England	North West
Peterborough	70,640	72,787	72,530	Cambridgeshire	England	Eastern
Plymouth, Moor View	68,843	68,556	68,246	Devon	England	South West
Plymouth, Sutton and Devonport	73,240	71,236	73,274	Devon	England	South West
Poole	67,933	72,773	72,557	Dorset	England	South West
Poplar and Limehouse	59,400	74,919	82,081	London (Tower Hamlets)	England	London
Portsmouth North	70,871	71,798	73,105	Hampshire	England	South East
Portsmouth South	71,774	71,947	71,639	Hampshire	England	South East
Preston	63,558	61,025	59,981	Lancashire	England	North West
Pudsey	68,150	69,738	70,533	West Yorkshire (Leeds)	England	Yorkshire & the Humber
Putney	59,331	62,153	63,923	London (Wandsworth)	England	London
Rayleigh and Wickford	71,975	76,089	77,174	Essex	England	Eastern
Reading East	72,788	78,170	73,232	Berkshire	England	South East
Reading West	72,250	73,216	72,567	Berkshire	England	South East
Redcar	67,638	67,195	64,826	South East Durham & North East Yorkshire	England	North East
Redditch	64,501	66,492	65,531	Worcestershire	England	West Midlands
Reigate	67,432	72,043	73,429	Surrey	England	South East
Ribble Valley	71,997	77,437	77,379	Lancashire	England	North West
Richmond (Yorks)	74,434	78,902	79,062	North Yorkshire	England	Yorkshire & the Humber
Richmond Park	71,457	76,650	77,303	London (Kingston upon Thames and Richmond upon Thames)	England	London
Rochdale	73,807	77,699	77,248	Greater Manchester	England	North West
Rochester and Strood	69,032	75,001	77,119	Kent	England	South East
Rochford and Southend East	69,904	71,131	71,935	Essex	England	Eastern
Romford	69,536	71,978	72,594	London (Havering)	England	London
Romsey and Southampton North	65,461	67,696	66,519	Hampshire	England	South East
Rossendale and Darwen	70,698	73,443	73,779	Lancashire	England	North West
Rother Valley	72,237	73,068	74,275	South Yorkshire	England	Yorkshire & the Humber
Rotherham	65,305	63,131	63,698	South Yorkshire	England	Yorkshire & the Humber
Rugby	65,407	69,932	71,655	Warwickshire	England	West Midlands
Ruislip, Northwood and Pinner	68,244	71,706	73,216	London (Harrow and Hillingdon)	England	London
Runnymede and Weybridge	73,357	73,680	73,771	Surrey	England	South East
Rushcliffe	70,484	73,430	73,278	Nottinghamshire	England	East Midlands
Rutland and Melton	72,214	77,324	79,693	Leicestershire and Rutland	England	East Midlands
Saffron Walden	70,402	77,109	80,615	Essex	England	Eastern
Salisbury	66,502	68,731	74,291	Wiltshire	England	South West
Salford and Eccles	73,162	76,863	69,582	Greater Manchester	England	North West
