"Constituency Name","Tactical Voting Advice","Stand-aside Advice","Lab-Con","Win19","Second19","CON%","LAB%","LD%","GRN%","Labour Target","Lib Dem target"
"Cannock Chase","NOT LABOUR",,-42.9,"Con","Lab",68.3,25.4,0.0,6.3,466,
"Lichfield","NOT LABOUR",,-43.1,"Con","Lab",64.1,21.0,10.5,3.2,467,
"North West Hampshire","NOT LABOUR",,-43.2,"Con","LD",60.1,16.9,18.5,4.6,468,100
"Bognor Regis and Littlehampton","NOT LABOUR",,-43.2,"Con","Lab",62.2,19.0,13.3,3.3,469,
"Westmorland and Lonsdale","LIB DEM","GREEN",-43.2,"Con","LD",50.2,6.9,40.7,0.5,470,14
"Chichester","NOT LABOUR",,-43.4,"Con","LD",58.8,15.4,20.3,4.9,471,84
"North West Norfolk","NOT LABOUR",,-43.4,"Con","Lab",66.0,22.6,7.8,3.5,472,
"Tamworth","NOT LABOUR",,-43.4,"Con","Lab",66.7,23.3,5.3,2.1,473,
"Waveney Valley","GREEN","LIB DEM",-43.6,"Con","Lab",62.2,18.6,9.2,9.3,474,
"Cheltenham","LIB DEM","GREEN",-43.7,"Con","LD",48.5,4.8,46.0,0.0,475,7
"Hertsmere","NOT LABOUR",,-43.8,"Con","Lab",64.9,21.1,10.9,3.1,476,
"Taunton and Wellington","LIB DEM","GREEN",-44.1,"Con","LD",52.0,7.9,36.3,0.0,477,20
"Epping Forest","NOT LABOUR",,-44.1,"Con","Lab",64.4,20.3,10.7,3.9,478,
"West Worcestershire","NOT LABOUR",,-44.2,"Con","LD",60.7,16.5,18.1,4.7,479,102
"Basildon and Billericay","NOT LABOUR",,-44.3,"Con","Lab",65.9,21.6,8.4,3.0,480,
"Godalming and Ash","LIB DEM","GREEN",-44.5,"Con","LD",53.4,8.9,34.1,1.6,481,23
"Goole and Pocklington","NOT LABOUR",,-44.7,"Con","Lab",65.1,20.4,7.8,3.9,482,
"Thirsk and Malton","NOT LABOUR",,-44.7,"Con","Lab",62.5,17.8,12.5,4.5,483,
"Chippenham","LIB DEM","GREEN",-44.7,"Con","LD",56.4,11.7,30.3,1.7,484,42
"Esher and Walton","LIB DEM","GREEN",-44.7,"Con","LD",49.5,4.8,44.2,0.2,485,8
"Arundel and South Downs","NOT LABOUR",,-44.8,"Con","LD",60.4,15.7,19.0,4.0,486,95
"East Grinstead and Uckfield","LIB DEM",,-44.9,"Con","LD",58.5,13.6,23.0,4.9,487,71
"West Dorset","LIB DEM","GREEN",-44.9,"Con","LD",54.3,9.4,32.8,3.5,488,27
"Gainsborough","NOT LABOUR",,-45.1,"Con","Lab",66.3,21.2,10.4,0.0,489,
"Wells and Mendip Hills","LIB DEM","GREEN",-45.4,"Con","LD",56.1,10.8,30.8,1.2,490,40
"Fareham and Waterlooville","NOT LABOUR",,-45.4,"Con","LD",61.2,15.8,18.9,4.1,491,96
"Henley and Thame","LIB DEM","GREEN",-45.5,"Con","LD",54.5,8.9,32.4,4.2,492,30
"Beaconsfield","NOT LABOUR",,-45.6,"Con","Other",55.5,9.9,0.0,3.7,493,
"Sittingbourne and Sheppey","NOT LABOUR",,-45.6,"Con","Lab",66.5,20.9,6.3,2.2,494,
"Wokingham","LIB DEM","GREEN",-45.6,"Con","LD",55.5,9.9,32.3,2.2,495,31
"Romsey and Southampton North","LIB DEM",,-45.7,"Con","LD",57.9,12.1,28.1,0.7,496,51
"Melksham and Devizes","LIB DEM",,-45.8,"Con","LD",57.8,12.0,27.3,3.0,497,54
"Grantham and Bourne","NOT LABOUR",,-45.8,"Con","Lab",65.8,20.0,9.0,4.3,498,
"Torbay","LIB DEM",,-46.1,"Con","LD",59.1,13.0,24.2,2.4,499,65
"Honiton and Sidmouth","NOT LABOUR",,-46.2,"Con","Lab",60.4,14.2,9.6,2.1,500,
"Mid Buckinghamshire","NOT LABOUR",,-46.2,"Con","LD",61.5,15.3,19.7,2.7,501,89
"South Leicestershire","NOT LABOUR",,-46.6,"Con","Lab",66.5,19.9,9.6,4.0,502,
"Bridlington and the Wolds","NOT LABOUR",,-46.7,"Con","Lab",66.6,19.9,7.5,2.8,503,
"East Hampshire","NOT LABOUR",,-46.7,"Con","LD",59.0,12.3,21.7,5.5,504,79
"Daventry","NOT LABOUR",,-46.7,"Con","Lab",64.5,17.8,13.1,4.6,505,
"Richmond and Northallerton","NOT LABOUR",,-46.9,"Con","Lab",63.3,16.4,12.5,3.8,506,
"Stone, Great Wyrley and Penkridge","NOT LABOUR",,-46.9,"Con","Lab",68.5,21.6,6.5,3.4,507,
